run_id,property_name,property_number,managed_by,source_file,metric,month,year,period_date,value,extracted_at
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,1,2025,2025-01-01,7,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,2,2025,2025-02-01,10,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,3,2025,2025-03-01,10,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,4,2025,2025-04-01,6,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,5,2025,2025-05-01,5,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,6,2025,2025-06-01,4,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,7,2025,2025-07-01,4,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,8,2025,2025-08-01,9,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,9,2025,2025-09-01,7,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,10,2025,2025-10-01,10,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,11,2025,2025-11-01,4,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,12,2025,2025-12-01,4,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,1,2026,2026-01-01,6,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,NSC rentals,2,2026,2026-02-01,8,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,12,2024,2024-12-01,27,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,1,2025,2025-01-01,32,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,2,2025,2025-02-01,34,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,3,2025,2025-03-01,20,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,4,2025,2025-04-01,13,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,5,2025,2025-05-01,21,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,6,2025,2025-06-01,22,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,7,2025,2025-07-01,22,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,8,2025,2025-08-01,22,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,9,2025,2025-09-01,13,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,10,2025,2025-10-01,16,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,11,2025,2025-11-01,14,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,12,2025,2025-12-01,11,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,1,2026,2026-01-01,16,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Web Rentals,2,2026,2026-02-01,14,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Vacates During Month,12,2024,2024-12-01,23,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Vacates During Month,1,2025,2025-01-01,34,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Vacates During Month,2,2025,2025-02-01,22,2026-03-27T10:12:30.781650
